a–o,Clave_Ent,Entidad,Bien jurídico afectado,Tipo de delito,Subtipo de delito,Modalidad,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2015,1,Aguascalientes,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma de fuego,3,0,2,1,1,1,2,1,2,2,2,1
2015,1,Aguascalientes,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma blanca,1,1,0,0,0,1,0,1,0,0,0,1
2015,1,Aguascalientes,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con otro elemento,0,0,2,2,3,2,0,1,2,0,0,0
2015,1,Aguascalientes,La vida y la Integridad corporal,Homicidio,Homicidio doloso,No especificado,2,0,0,1,0,0,0,0,0,0,0,0
2015,1,Aguascalientes,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con arma de fuego,0,0,0,0,1,0,0,0,0,0,0,0
2015,1,Aguascalientes,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con arma blanca,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,Aguascalientes,La vida y la Integridad corporal,Homicidio,Homicidio culposo,En accidente de tránsito,14,17,10,14,13,11,14,11,23,14,7,15
2015,1,Aguascalientes,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con otro elemento,0,0,0,0,0,1,0,0,0,0,0,1
2015,1,Aguascalientes,La vida y la Integridad corporal,Homicidio,Homicidio culposo,No especificado,2,2,0,3,0,0,0,0,0,0,0,0
2015,1,Aguascalientes,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con arma de fuego,2,3,4,1,2,3,5,2,1,4,3,2
2015,1,Aguascalientes,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con arma blanca,14,11,14,17,12,10,15,18,6,11,13,11
2015,1,Aguascalientes,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con otro elemento,142,155,169,183,196,203,181,215,165,134,113,110
2015,1,Aguascalientes,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,No especificado,14,25,18,26,0,0,0,0,1,20,15,20
2015,1,Aguascalientes,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con arma de fuego,0,0,0,0,3,0,0,0,0,0,0,0
2015,1,Aguascalientes,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con arma blanca,0,0,1,0,0,0,0,0,0,0,0,0
2015,1,Aguascalientes,La vida y la Integridad corporal,Lesiones,Lesiones culposas,En accidente de tránsito,48,40,83,95,74,76,95,72,88,103,82,86
2015,1,Aguascalientes,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con otro elemento,2,0,0,2,30,38,13,27,3,5,14,3
2015,1,Aguascalientes,La vida y la Integridad corporal,Lesiones,Lesiones culposas,No especificado,6,4,3,16,0,0,0,0,15,6,0,6
2015,1,Aguascalientes,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con arma de fuego,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,Aguascalientes,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con arma blanca,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,Aguascalientes,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con otro elemento,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,Aguascalientes,La vida y la Integridad corporal,Feminicidio,Feminicidio,No especificado,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,Aguascalientes,La vida y la Integridad corporal,Aborto,Aborto,Aborto,0,3,1,0,0,0,0,0,0,0,1,0
2015,1,Aguascalientes,La vida y la Integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,4,9,32,25,0,0,0,0,0,0,0,0
2015,1,Aguascalientes,Libertad personal,Secuestro,Secuestro,Secuestro extorsivo,0,0,1,1,0,0,0,1,0,1,1,0
2015,1,Aguascalientes,Libertad personal,Secuestro,Secuestro,Secuestro con calidad de rehén,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,Aguascalientes,Libertad personal,Secuestro,Secuestro,Secuestro para causar daño,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,Aguascalientes,Libertad personal,Secuestro,Secuestro,Secuestro exprés,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,Aguascalientes,Libertad personal,Secuestro,Secuestro,Otro tipo de secuestros,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,Aguascalientes,Libertad personal,Tráfico de menores,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,Aguascalientes,Libertad personal,Rapto,Rapto,Rapto,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,Aguascalientes,Libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,11,12,11,13,0,6,4,0,1,0,0,3
2015,1,Aguascalientes,La libertad y la seguridad sexual,Abuso sexual,Abuso sexual,Abuso sexual,6,4,0,2,1,1,1,1,0,0,1,1
2015,1,Aguascalientes,La libertad y la seguridad sexual,Acoso sexual,Acoso sexual,Acoso sexual,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,Aguascalientes,La libertad y la seguridad sexual,Hostigamiento sexual,Hostigamiento sexual,Hostigamiento sexual,1,1,0,1,3,0,1,0,0,1,0,3
2015,1,Aguascalientes,La libertad y la seguridad sexual,Violación simple,Violación simple,Violación simple,5,5,3,11,3,15,8,8,6,9,5,6
2015,1,Aguascalientes,La libertad y la seguridad sexual,Violación equiparada,Violación equiparada,Violación equiparada,0,5,3,7,3,4,4,4,3,5,3,0
2015,1,Aguascalientes,La libertad y la seguridad sexual,Incesto,Incesto,Incesto,0,0,0,0,0,0,0,0,1,0,0,1
2015,1,Aguascalientes,La libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,19,17,21,20,30,31,24,21,17,19,17,16
2015,1,Aguascalientes,El patrimonio,Robo,Robo a casa habitación,Con violencia,5,3,0,7,6,8,5,3,4,2,4,7
2015,1,Aguascalientes,El patrimonio,Robo,Robo a casa habitación,Sin violencia,215,176,202,190,215,228,233,229,202,175,226,180
2015,1,Aguascalientes,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,4,3,5,4,4,2,2,7,5,6,9,5
2015,1,Aguascalientes,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,128,120,138,134,143,105,109,105,141,115,165,182
2015,1,Aguascalientes,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Con violencia,1,0,1,0,2,0,0,2,0,0,4,0
2015,1,Aguascalientes,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,26,26,25,21,25,20,18,36,36,36,40,35
2015,1,Aguascalientes,El patrimonio,Robo,Robo de vehículo automotor,Robo de embarcaciones pequeñas y grandes Con violencia,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,Aguascalientes,El patrimonio,Robo,Robo de vehículo automotor,Robo de embarcaciones pequeñas y grandes Sin violencia,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,Aguascalientes,El patrimonio,Robo,Robo de autopartes,Con violencia,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,Aguascalientes,El patrimonio,Robo,Robo de autopartes,Sin violencia,106,137,149,123,0,0,0,0,0,7,3,0
2015,1,Aguascalientes,El patrimonio,Robo,Robo a transportista,Con violencia,0,0,0,0,1,0,1,0,0,0,1,0
2015,1,Aguascalientes,El patrimonio,Robo,Robo a transportista,Sin violencia,0,0,0,0,0,1,0,0,0,0,0,0
2015,1,Aguascalientes,El patrimonio,Robo,Robo a transeúnte en vía pública,Con violencia,39,30,48,45,51,36,51,58,39,26,50,30
2015,1,Aguascalientes,El patrimonio,Robo,Robo a transeúnte en vía pública,Sin violencia,95,144,160,115,109,104,104,99,96,71,83,71
2015,1,Aguascalientes,El patrimonio,Robo,Robo a transeúnte en espacio abierto al público,Con violencia,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,Aguascalientes,El patrimonio,Robo,Robo a transeúnte en espacio abierto al público,Sin violencia,0,0,0,0,0,0,0,0,0,0,0,0
